,beat,count,years
1417,632,11,2006
1418,1922,2,2009
1419,232,26,2011
1420,2223,26,2010
1421,1731,8,2006
1422,421,42,2019
1423,1131,33,2016
1424,1223,7,2014
1425,2022,11,2018
1426,711,27,2009
1427,3100,33,2018
1428,1732,7,2004
1429,631,32,2017
1430,324,24,2014
1431,725,32,2008
1432,333,11,2006
1433,523,22,2014
1434,122,6,2008
1435,324,13,2013
1436,114,14,2012
1437,235,2,2014
1438,1814,6,2016
1439,235,3,2020
1440,711,24,2005
1441,1431,10,2013
1442,1814,8,2009
1443,2023,9,2009
1444,1225,8,2013
1445,611,17,2018
1446,1212,21,2012
1447,923,17,2007
1448,913,32,2013
1449,814,5,2019
1450,813,13,2019
1451,113,3,2008
1452,623,31,2012
1453,2033,2,2020
1454,2211,9,2014
1455,311,11,2015
1456,833,15,2009
1457,1912,11,2014
1458,1121,46,2009
1459,313,34,2009
1460,1653,1,2012
1461,2532,15,2018
1462,2413,19,2017
1463,915,6,2016
1464,225,18,2016
1465,414,25,2019
1466,1935,5,2019
1467,931,10,2011
1468,224,8,2008
1469,634,13,2017
1470,1412,8,2011
1471,715,14,2011
1472,1612,4,2008
1473,1652,3,2013
1474,822,11,2017
1475,725,43,2012
1476,331,46,2008
1477,1524,41,2013
1478,815,16,2006
1479,2232,10,2015
1480,2412,15,2017
1481,331,18,2004
1482,735,30,2005
1483,925,15,2009
1484,914,11,2015
1485,1524,40,2012
1486,1611,5,2005
1487,1134,76,2006
1488,214,9,2019
1489,1913,1,2020
1490,823,28,2006
1491,513,38,2015
1492,1424,19,2011
1493,233,19,2005
1494,1422,13,2012
1495,1632,4,2018
1496,233,2,2020
1497,2523,4,2018
1498,2213,4,2017
1499,634,23,2011
1500,835,15,2013
1501,1834,15,2006
1502,1532,30,2008
1503,1524,53,2009
1504,2525,17,2010
1505,1651,8,2005
1506,413,24,2013
1507,133,13,2010
1508,2212,37,2019
1509,1523,32,2012
1510,633,9,2006
1511,1033,13,2009
1512,511,15,2008
1513,922,6,2005
1514,612,41,2007
1515,2423,12,2013
1516,1024,30,2009
1517,1214,2,2017
1518,1034,28,2008
1519,2532,34,2004
1520,812,7,2016
1521,511,8,2020
1522,1523,29,2014
1523,313,22,2008
1524,712,39,2010
1525,1914,3,2019
1526,1213,28,2011
1527,1655,7,2017
1528,1821,19,2018
1529,1824,35,2014
1530,2521,8,2018
1531,1113,54,2014
1532,222,10,2004
1533,1655,3,2010
1534,1234,7,2014
1535,422,19,2019
1536,1135,32,2018
1537,1812,16,2008
1538,612,49,2019
1539,1732,4,2006
1540,111,20,2013
1541,831,34,2009
1542,323,24,2013
1543,532,37,2012
1544,123,13,2007
1545,1422,12,2018
1546,931,22,2005
1547,2523,14,2004
1548,1723,27,2004
1549,731,32,2014
1550,2024,7,2013
1551,2511,7,2005
1552,2413,23,2009
1553,2523,14,2006
1554,322,13,2004
1555,423,44,2016
1556,332,25,2011
1557,1633,14,2009
1558,312,39,2012
1559,1512,21,2006
1560,411,16,2009
1561,2513,5,2004
1562,1411,1,2020
1563,434,14,2006
1564,2534,23,2013
1565,1733,7,2018
1566,1014,18,2017
1567,1224,9,2011
1568,133,12,2012
1569,1412,6,2008
1570,1522,49,2008
1571,1631,10,2017
1572,732,18,2011
1573,1013,15,2004
1574,223,6,2018
1575,835,2,2019
1576,2523,11,2010
1577,1411,8,2013
1578,823,62,2014
1579,1411,2,2010
1580,922,7,2019
1581,1724,11,2012
1582,1234,7,2019
1583,922,11,2014
1584,1722,7,2011
1585,722,22,2018
1586,524,15,2008
1587,1215,2,2014
1588,1422,18,2017
1589,1813,5,2005
1590,1235,1,2016
1591,2525,19,2008
1592,513,24,2014
1593,2422,30,2017
1594,524,19,2005
1595,621,53,2017
1596,113,4,2006
1597,422,19,2010
1598,422,36,2012
1599,322,17,2015
1600,933,30,2004
1601,532,20,2009
1602,2023,6,2007
1603,825,22,2015
1604,1213,27,2006
1605,2432,26,2013
1606,1631,6,2012
1607,1524,25,2018
1608,1532,33,2013
1609,1432,1,2004
1610,1235,11,2013
1611,2524,21,2016
1612,934,33,2006
1613,111,2,2007
1614,1111,54,2005
1615,1422,15,2007
1616,1213,2,2017
1617,124,6,2014
1618,1233,6,2005
1619,1233,16,2012
1620,713,81,2013
1621,912,10,2006
1622,1624,6,2007
1623,711,23,2011
1624,1214,6,2019
1625,815,12,2009
1626,413,28,2005
1627,532,17,2004
1628,724,28,2018
1629,3100,69,2006
1630,1221,9,2014
1631,232,7,2016
1632,1621,2,2006
1633,1223,4,2004
1634,215,1,2020
1635,1135,47,2008
1636,2512,9,2019
1637,1012,26,2010
1638,434,3,2020
1639,333,4,2020
1640,735,27,2019
1641,1611,3,2020
1642,1932,4,2019
1643,313,22,2007
1644,613,13,2005
1645,1423,32,2006
1646,1424,24,2015
1647,1235,1,2015
1648,2023,8,2016
1649,1832,26,2019
1650,1733,14,2009
1651,1532,39,2016
1652,712,42,2014
1653,2011,19,2009
1654,2531,19,2006
1655,1922,7,2016
1656,831,43,2008
1657,2234,21,2005
1658,2033,5,2010
1659,1022,46,2019
1660,714,6,2008
1661,1011,29,2007
1662,1231,33,2008
1663,933,38,2012
1664,522,34,2012
1665,1933,3,2004
1666,1212,5,2004
1667,1424,13,2019
1668,1213,18,2012
1669,1532,36,2012
1670,2512,19,2011
1671,123,9,2006
1672,1231,10,2019
1673,1434,23,2010
1674,1024,44,2013
1675,232,32,2004
1676,925,25,2008
1677,1122,44,2004
1678,1653,3,2020
1679,323,11,2015
1680,1123,20,2020
1681,835,14,2015
1682,922,12,2004
1683,915,20,2007
1684,1622,8,2004
1685,122,20,2015
1686,833,3,2017
1687,2031,8,2005
1688,322,33,2014
1689,513,29,2013
1690,612,50,2014
1691,1232,4,2011
1692,624,52,2015
1693,132,39,2009
1694,824,19,2005
1695,321,50,2014
1696,825,22,2004
1697,411,6,2004
1698,314,8,2013
1699,632,32,2012
1700,1924,48,2013
1701,2513,6,2018
1702,1532,26,2019
1703,2535,16,2015
1704,432,9,2020
1705,213,11,2013
1706,1513,17,2018
1707,1421,16,2004
1708,1532,33,2018
1709,1711,10,2014
1710,2511,2,2019
1711,922,7,2007
1712,222,16,2007
1713,1211,22,2008
1714,1654,3,2019
1715,1422,7,2016
1716,212,10,2014
1717,735,3,2020
1718,522,15,2019
1719,1713,7,2009
1720,331,16,2005
1721,1422,32,2004
1722,2213,9,2006
1723,2515,40,2019
1724,1634,7,2017
1725,1431,4,2019
1726,1411,8,2005
1727,531,51,2008
1728,132,31,2007
1729,725,20,2016
1730,912,19,2008
1731,1653,4,2011
1732,2515,23,2013
1733,424,16,2004
1734,312,20,2008
1735,1833,12,2004
1736,1722,14,2016
1737,223,2,2014
1738,1121,43,2005
1739,1121,38,2011
1740,132,45,2006
1741,1832,12,2018
1742,612,30,2005
1743,225,47,2018
1744,1114,22,2004
1745,2024,18,2007
1746,2522,14,2006
1747,1723,22,2013
1748,112,4,2020
1749,733,23,2006
1750,1134,55,2008
1751,911,6,2007
1752,913,8,2011
1753,633,8,2005
1754,931,20,2009
1755,1011,50,2008
1756,1523,8,2019
1757,915,30,2004
1758,1513,71,2015
1759,1113,47,2010
1760,2532,36,2009
1761,832,35,2013
1762,1014,29,2008
1763,2232,10,2007
1764,1712,5,2019
1765,1911,4,2015
1766,224,8,2020
1767,333,7,2019
1768,632,32,2010
1769,824,20,2009
1770,421,61,2015
1771,211,16,2005
1772,523,20,2006
1773,1431,19,2005
1774,1834,16,2004
1775,334,23,2008
1776,224,7,2017
1777,1624,15,2011
1778,1622,12,2007
1779,935,27,2009
1780,821,4,2005
1781,1731,3,2018
1782,1024,37,2006
1783,912,27,2012
1784,332,16,2014
1785,832,33,2014
1786,411,22,2007
1787,1614,2,2020
1788,813,24,2007
1789,123,22,2012
1790,1612,8,2004
1791,1511,42,2010
1792,1923,46,2013
1793,1923,20,2010
1794,2513,1,2012
1795,2524,12,2007
1796,2233,5,2013
1797,1633,15,2015
1798,1011,65,2016
1799,712,51,2016
1800,1131,25,2019
1801,124,10,2013
1802,1713,7,2012
1803,2234,20,2012
1804,1113,14,2020
1805,334,6,2019
1806,221,6,2014
1807,111,5,2020
1808,621,26,2004
1809,1233,26,2015
1810,1433,10,2016
1811,223,4,2011
1812,212,28,2005
1813,1811,1,2012
1814,2024,25,2010
1815,1112,101,2005
1816,815,5,2007
1817,714,17,2011
1818,133,9,2009
1819,1431,15,2012
1820,122,3,2019
1821,2234,28,2009
1822,1614,2,2015
1823,1631,10,2010
1824,831,5,2018
1825,722,35,2019
1826,1731,6,2015
1827,1624,5,2020
1828,623,28,2017
1829,1434,15,2004
1830,1612,2,2018
1831,1125,12,2009
1832,1125,6,2019
1833,713,24,2020
1834,232,25,2009
1835,2011,33,2005
1836,321,49,2006
1837,1114,31,2014
1838,1522,61,2010
1839,232,16,2018
1840,1212,17,2011
1841,634,32,2007
1842,114,22,2019
1843,1522,3,2020
1844,532,8,2019
1845,432,20,2016
1846,1013,5,2016
1847,925,22,2005
1848,1225,4,2019
1849,815,1,2020
1850,934,8,2018
1851,211,10,2008
1852,1125,11,2014
1853,1013,22,2013
1854,813,12,2005
1855,811,15,2011
1856,731,28,2017
1857,121,3,2013
1858,731,16,2013
1859,1652,3,2014
1860,212,1,2020
1861,2522,5,2017
1862,222,23,2009
1863,714,23,2015
1864,524,21,2009
1865,922,15,2015
1866,724,19,2010
1867,624,81,2007
1868,614,18,2006
1869,1122,54,2017
1870,1924,12,2006
1871,414,10,2004
1872,614,21,2015
1873,2422,33,2018
1874,1412,5,2017
1875,2211,5,2019
1876,2534,18,2006
1877,2423,11,2010
1878,622,16,2018
1879,511,26,2018
1880,1811,6,2005
1881,1123,34,2007
1882,412,4,2018
1883,633,12,2017
1884,2523,13,2007
1885,632,13,2005
1886,524,14,2016
1887,2013,2,2016
1888,1114,28,2005
1889,314,7,2017
1890,114,15,2018
1891,334,18,2014
1892,112,8,2012
1893,1032,6,2017
1894,2521,10,2004
1895,2534,20,2008
1896,1924,36,2012
1897,2221,17,2011
1898,2535,23,2008
1899,2213,13,2008
1900,614,22,2007
1901,434,46,2013
1902,131,53,2013
1903,1632,10,2014
1904,1133,49,2010
1905,731,20,2008
1906,1632,3,2016
1907,1622,3,2020
1908,2213,13,2015
1909,2524,19,2005
1910,1622,11,2006
1911,511,19,2006
1912,1124,34,2005
1913,1712,15,2011
1914,1133,30,2012
1915,1921,10,2012
1916,1014,22,2014
1917,2413,16,2007
1918,1713,3,2020
1919,1833,6,2012
1920,2513,2,2007
1921,812,5,2017
1922,1823,22,2004
1923,1631,1,2013
1924,726,17,2017
1925,122,7,2006
1926,122,11,2004
1927,913,28,2015
1928,1913,15,2004
1929,1831,36,2006
1930,1622,18,2009
1931,131,35,2015
1932,1912,7,2010
1933,1522,79,2012
1934,831,12,2016
1935,1812,7,2006
1936,1922,5,2015
1937,1612,5,2016
1938,2412,18,2006
1939,513,30,2010
1940,2234,17,2014
1941,813,14,2016
1942,1713,11,2008
1943,2423,2,2020
1944,835,11,2017
1945,513,29,2008
1946,421,53,2008
1947,1935,10,2015
1948,631,32,2016
1949,2424,15,2014
1950,1021,34,2006
1951,2422,47,2012
1952,2024,6,2018
1953,322,16,2009
1954,1913,9,2009
1955,1931,11,2007
1956,714,15,2005
1957,1831,29,2007
1958,133,3,2005
1959,1413,7,2010
1960,1132,43,2015
1961,613,19,2016
1962,411,24,2013
1963,531,40,2017
1964,324,20,2016
1965,1124,58,2009
1966,1812,23,2007
1967,232,24,2010
1968,1033,19,2013
1969,121,6,2017
1970,2512,20,2016
1971,1114,16,2008
1972,234,11,2010
1973,2013,9,2011
1974,1722,11,2005
1975,613,21,2008
1976,1812,17,2014
1977,314,6,2006
1978,1923,45,2012
1979,1125,8,2006
1980,1424,1,2020
1981,932,12,2015
1982,911,18,2017
1983,712,57,2005
1984,1912,5,2017
1985,1633,7,2019
1986,611,53,2007
1987,1013,13,2005
1988,324,20,2012
1989,112,2,2008
1990,2233,23,2012
1991,312,8,2020
1992,2011,14,2016
1993,1021,15,2004
1994,925,19,2015
1995,1032,12,2014
1996,2511,7,2008
1997,832,31,2010
1998,731,27,2016
1999,1112,62,2013
2000,922,1,2020
2001,1513,26,2008
2002,714,14,2006
2003,1823,15,2006
2004,1921,10,2020
2005,1651,6,2009
2006,1122,65,2012
2007,512,11,2018
2008,222,10,2011
2009,2413,18,2011
2010,2422,29,2011
2011,532,9,2020
2012,2222,18,2019
2013,424,18,2011
2014,233,22,2010
2015,834,10,2010
2016,622,11,2012
2017,512,31,2005
2018,2511,11,2011
2019,711,19,2006
2020,2431,6,2019
2021,1233,32,2017
2022,1813,3,2020
2023,1713,7,2013
2024,724,28,2017
2025,113,11,2020
2026,424,27,2013
2027,1122,52,2013
2028,1711,2,2005
2029,333,9,2008
2030,1221,11,2013
2031,925,17,2004
2032,2022,5,2015
2033,1513,21,2006
2034,933,22,2007
2035,331,19,2019
2036,912,8,2017
2037,823,37,2008
2038,1723,11,2016
2039,323,22,2006
2040,632,17,2013
2041,1032,14,2007
2042,2522,15,2013
2043,1923,39,2014
2044,2222,26,2006
2045,821,14,2012
2046,2411,1,2005
2047,824,36,2014
2048,622,7,2020
2049,2031,2,2006
2050,2232,15,2006
2051,633,22,2014
2052,131,14,2011
2053,1612,4,2014
2054,213,14,2005
2055,2023,6,2005
2056,1433,2,2018
2057,311,8,2009
2058,1833,11,2008
2059,2432,32,2006
2060,1811,2,2016
2061,1621,1,2020
2062,933,18,2016
2063,512,32,2009
2064,1134,22,2020
2065,1423,12,2017
2066,832,22,2008
2067,1614,9,2004
2068,1034,19,2014
2069,312,46,2014
2070,532,19,2011
2071,1231,12,2014
2072,723,23,2019
2073,733,28,2014
2074,2532,40,2008
2075,614,15,2009
2076,1623,19,2005
2077,1822,50,2009
2078,2024,19,2006
2079,911,5,2016
2080,924,11,2017
2081,2212,5,2020
2082,1832,22,2011
2083,1232,19,2018
2084,1424,24,2014
2085,2514,6,2004
2086,1413,10,2014
2087,2433,16,2016
2088,1834,15,2020
2089,2413,14,2014
2090,1422,21,2006
2091,715,9,2017
2092,712,19,2008
2093,1621,4,2008
2094,611,40,2015
2095,224,4,2010
2096,2424,11,2009
2097,733,15,2011
2098,2233,15,2010
2099,1021,25,2018
2100,2023,5,2014
2101,1622,4,2018
2102,113,8,2011
2103,112,7,2014
2104,2511,10,2014
2105,1024,44,2015
2106,2512,10,2013
2107,2532,30,2012
2108,1651,2,2013
2109,533,19,2019
2110,931,7,2013
2111,431,16,2012
2112,1651,1,2011
2113,1431,7,2004
2114,235,2,2018
2115,1912,1,2018
2116,123,13,2016
2117,2212,9,2012
2118,932,26,2012
2119,433,18,2013
2120,1833,19,2015
2121,1121,48,2015
2122,1924,58,2014
2123,1513,50,2009
2124,623,25,2005
2125,613,28,2018
2126,221,8,2013
2127,1011,38,2011
2128,2031,3,2009
2129,1633,19,2014
2130,432,14,2006
2131,913,28,2012
2132,2532,14,2019
2133,1213,9,2013
2134,513,18,2007
2135,1014,24,2005
2136,1712,8,2009
2137,832,18,2016
2138,2213,6,2018
2139,1231,28,2009
2140,1121,59,2006
2141,914,8,2017
2142,934,24,2017
2143,624,49,2010
2144,1915,12,2012
2145,1611,5,2018
2146,1134,77,2011
2147,711,12,2019
2148,1933,6,2015
2149,734,27,2015
2150,234,3,2011
2151,1654,3,2020
2152,1511,15,2007
2153,632,27,2016
2154,2024,15,2014
2155,811,9,2006
2156,424,21,2009
2157,712,33,2019
2158,931,11,2017
2159,1135,45,2006
2160,2232,15,2018
2161,311,22,2006
2162,2411,10,2011
2163,2233,15,2009
2164,2431,12,2009
2165,2233,8,2014
2166,933,24,2008
2167,1814,6,2013
2168,112,3,2005
2169,2431,20,2010
2170,1532,46,2010
2171,1633,27,2005
2172,1624,6,2017
2173,333,13,2007
2174,522,9,2020
2175,532,28,2010
2176,921,12,2018
2177,1632,2,2004
2178,1012,32,2004
2179,111,23,2014
2180,2422,52,2010
2181,2033,4,2009
2182,1724,11,2008
2183,1623,17,2010
2184,1522,84,2015
2185,1233,7,2020
2186,2533,21,2019
2187,1222,6,2020
2188,1212,3,2013
2189,1024,24,2020
2190,2531,13,2013
2191,1223,18,2018
2192,1431,10,2009
2193,333,7,2017
2194,423,26,2018
2195,1125,7,2010
2196,1711,8,2004
2197,1652,4,2017
2198,1021,29,2005
2199,1432,9,2006
2200,124,15,2015
2201,1651,11,2004
2202,1434,12,2006
2203,834,20,2009
2204,715,13,2007
2205,214,2,2013
2206,714,10,2009
2207,1232,9,2006
2208,131,34,2018
2209,1033,12,2012
2210,1432,2,2011
2211,1222,14,2010
2212,2535,32,2009
2213,1613,5,2011
2214,1034,9,2011
2215,1023,19,2017
2216,711,16,2004
2217,1913,8,2013
2218,331,20,2006
2219,1931,1,2010
2220,411,26,2015
2221,222,13,2019
2222,932,15,2004
2223,924,5,2007
2224,834,16,2007
2225,1722,19,2015
2226,1231,27,2007
2227,1115,26,2004
2228,132,54,2005
2229,2431,33,2005
2230,1633,7,2020
2231,1213,8,2019
2232,1914,34,2013
2233,2525,10,2012
2234,2521,22,2012
2235,1413,3,2018
2236,715,19,2006
2237,813,17,2006
2238,1224,5,2005
2239,732,11,2010
2240,223,8,2007
2241,1913,5,2016
2242,2424,5,2019
2243,2233,17,2011
2244,815,16,2019
2245,2532,21,2011
2246,2012,7,2004
2247,634,17,2015
2248,1533,33,2017
2249,1121,33,2004
2250,412,16,2014
2251,1724,7,2017
2252,1115,36,2008
2253,1723,30,2009
2254,1131,51,2005
2255,2412,7,2007
2256,2221,15,2013
2257,324,27,2005
2258,726,16,2007
2259,1013,4,2011
2260,1833,15,2010
2261,314,10,2005
2262,123,19,2011
2263,2431,15,2004
2264,1533,63,2013
2265,2033,11,2016
2266,614,15,2018
2267,2515,36,2018
2268,1012,25,2013
2269,622,9,2019
2270,935,22,2014
2271,2533,18,2016
2272,312,38,2013
2273,1931,6,2009
2274,1812,1,2020
2275,2532,31,2006
2276,2524,2,2020
2277,1031,13,2010
2278,322,12,2005
2279,312,29,2017
2280,724,12,2011
2281,424,33,2012
2282,734,9,2007
2283,1931,11,2013
2284,1424,10,2010
2285,1614,4,2013
2286,2534,47,2011
2287,932,35,2006
2288,2013,2,2020
2289,1413,7,2004
2290,211,5,2012
2291,1731,12,2011
2292,1412,7,2020
2293,613,20,2010
2294,1031,21,2005
2295,1935,15,2013
2296,1832,17,2004
2297,511,38,2012
2298,1121,32,2008
2299,1013,14,2017
2300,1813,3,2006
2301,1911,18,2016
2302,232,4,2015
2303,2221,13,2018
2304,1634,11,2008
2305,333,10,2018
2306,1023,17,2013
2307,2031,5,2004
2308,1831,32,2008
2309,1235,3,2018
2310,723,17,2011
2311,1021,45,2014
2312,1012,7,2017
2313,1923,25,2006
2314,422,35,2014
2315,1922,2,2019
2316,2535,3,2016
2317,735,12,2010
2318,2012,2,2009
2319,1211,11,2015
2320,1923,33,2015
2321,123,10,2004
2322,1033,25,2010
2323,1523,29,2007
2324,1651,8,2016
2325,913,4,2017
2326,233,2,2016
2327,2411,6,2004
2328,2032,1,2020
2329,333,8,2012
2330,323,26,2016
2331,822,17,2015
2332,1512,14,2014
2333,513,34,2017
2334,714,11,2010
2335,523,29,2017
2336,825,32,2019
2337,222,2,2010
2338,331,16,2012
2339,922,4,2018
2340,233,6,2018
2341,723,21,2016
2342,312,15,2018
2343,2223,26,2014
2344,1424,31,2013
2345,1132,44,2006
2346,1512,22,2008
2347,931,7,2016
2348,1834,28,2014
2349,412,7,2010
2350,814,14,2004
2351,2423,2,2017
2352,413,27,2011
2353,1124,16,2013
2354,1013,9,2012
2355,2211,10,2009
2356,924,10,2005
2357,714,29,2019
2358,433,10,2018
2359,1133,50,2004
2360,1133,45,2017
2361,2011,10,2019
2362,1411,6,2014
2363,1613,3,2013
2364,1411,7,2009
2365,621,83,2012
2366,734,17,2013
2367,1524,13,2006
2368,1231,10,2011
2369,2524,20,2008
2370,2513,6,2013
2371,1911,8,2011
2372,2512,14,2018
2373,1033,31,2011
2374,1523,25,2017
2375,1732,2,2020
2376,1511,20,2006
2377,1223,14,2011
2378,524,25,2006
2379,1931,11,2014
2380,726,18,2006
2381,611,51,2019
2382,1224,13,2017
2383,1832,31,2006
2384,925,25,2013
2385,2233,6,2016
2386,2221,6,2007
2387,233,23,2008
2388,1022,27,2004
2389,1823,3,2017
2390,1032,3,2018
2391,2212,9,2008
2392,1932,6,2010
2393,821,4,2018
2394,214,4,2005
2395,332,20,2015
2396,631,23,2006
2397,1132,41,2008
2398,2212,16,2011
2399,2411,12,2006
2400,2031,2,2010
2401,1431,3,2020
2402,732,18,2005
2403,1033,3,2020
2404,213,5,2014
2405,1135,53,2014
2406,1111,4,2019
2407,932,7,2016
2408,1823,32,2008
2409,2022,12,2009
2410,823,37,2004
2411,2534,16,2016
2412,2033,13,2015
2413,1513,45,2010
2414,524,11,2017
2415,934,22,2004
2416,711,27,2008
2417,225,17,2013
2418,2432,19,2007
2419,834,15,2004
2420,2511,4,2013
2421,323,23,2019
2422,1121,32,2016
2423,414,26,2005
2424,2514,8,2013
2425,1434,1,2020
2426,2534,5,2019
2427,1024,30,2005
2428,1711,10,2012
2429,632,16,2008
2430,734,5,2020
2431,1433,7,2006
2432,624,33,2005
2433,823,51,2013
2434,2023,20,2012
2435,822,12,2013
2436,611,44,2011
2437,914,8,2019
2438,1655,6,2019
2439,2513,3,2010
2440,232,11,2013
2441,922,15,2009
2442,512,37,2013
2443,1131,41,2017
2444,825,14,2016
2445,1033,15,2016
2446,1231,16,2010
2447,2032,2,2015
2448,113,27,2017
2449,2234,9,2017
2450,815,12,2008
2451,723,26,2008
2452,1614,2,2005
2453,731,12,2004
2454,614,19,2019
2455,1211,16,2004
2456,1812,10,2019
2457,1624,15,2015
2458,423,41,2012
2459,2532,31,2013
2460,2413,11,2016
2461,923,6,2020
2462,1632,12,2007
2463,321,20,2019
2464,1712,1,2018
2465,925,19,2010
2466,2032,3,2014
2467,621,56,2014
2468,1524,25,2015
2469,1212,4,2017
2470,1211,20,2007
2471,2521,24,2017
2472,1611,4,2013
2473,1422,26,2009
2474,213,8,2015
2475,1213,45,2008
2476,2412,8,2011
2477,1232,10,2016
2478,1224,7,2009
2479,834,10,2018
2480,1423,22,2009
2481,123,33,2019
2482,231,5,2010
2483,333,4,2004
2484,1032,11,2013
2485,1132,34,2012
2486,2013,6,2013
2487,332,9,2018
2488,1212,3,2016
2489,2234,16,2007
2490,1125,9,2017
2491,811,18,2007
2492,1612,3,2007
2493,2433,11,2013
2494,1652,4,2020
2495,731,7,2009
2496,833,11,2018
2497,1414,14,2006
2498,1831,21,2004
2499,1832,22,2008
2500,1524,33,2005
2501,715,17,2004
2502,2022,3,2016
2503,2012,10,2008
2504,735,26,2013
2505,1112,50,2017
2506,2531,20,2017
2507,614,7,2020
2508,1113,40,2018
2509,1924,55,2015
2510,1633,9,2017
2511,2432,36,2019
2512,1834,19,2005
2513,1112,61,2009
2514,413,20,2014
2515,915,20,2006
2516,234,14,2004
2517,1225,15,2016
2518,1225,20,2017
2519,2535,7,2017
2520,422,23,2008
2521,722,25,2012
2522,1824,17,2019
2523,334,21,2013
2524,731,8,2020
2525,1011,58,2014
2526,621,61,2007
2527,933,9,2018
2528,2222,23,2015
2529,522,45,2011
2530,911,26,2009
2531,533,29,2014
2532,1125,8,2013
2533,712,39,2018
2534,1115,23,2018
2535,334,9,2016
2536,1135,39,2017
2537,1111,40,2015
2538,812,15,2009
2539,1223,5,2012
2540,1022,42,2005
2541,1113,21,2007
2542,131,10,2020
2543,725,43,2013
2544,2011,14,2018
2545,835,4,2020
2546,424,20,2005
2547,225,17,2012
2548,1233,24,2018
2549,235,3,2012
2550,2411,12,2017
2551,2515,43,2005
2552,133,8,2013
2553,111,15,2011
2554,2424,12,2016
2555,1811,9,2014
2556,811,18,2012
2557,2535,26,2012
2558,321,47,2011
2559,923,4,2005
2560,1524,18,2007
2561,831,33,2012
2562,822,9,2005
2563,1832,32,2010
2564,924,16,2016
2565,2521,12,2013
2566,122,10,2020
2567,1834,21,2007
2568,1031,25,2014
2569,1014,52,2013
2570,312,30,2006
2571,614,20,2008
2572,1935,5,2018
2573,1022,42,2018
2574,735,27,2004
2575,421,33,2005
2576,2532,6,2020
2577,1414,20,2016
2578,1024,45,2008
2579,834,7,2019
2580,1623,22,2011
2581,1134,72,2004
2582,1531,60,2014
2583,725,15,2020
2584,1413,1,2020
2585,711,19,2018
2586,1633,18,2004
2587,1932,4,2013
2588,222,3,2020
2589,1211,10,2014
2590,614,17,2012
2591,915,12,2019
2592,1821,18,2006
2593,2022,3,2020
2594,323,19,2020
2595,1023,12,2016
2596,1124,42,2006
2597,1524,36,2011
2598,2531,27,2009
2599,2013,23,2010
2600,1824,22,2009
2601,1833,13,2009
2602,1134,63,2013
2603,311,6,2011
2604,424,17,2016
2605,223,7,2019
2606,1014,24,2010
2607,825,31,2007
2608,724,21,2006
2609,223,5,2016
2610,1411,7,2008
2611,732,16,2009
2612,712,25,2020
2613,1122,74,2011
2614,824,20,2008
2615,2412,22,2010
2616,1125,23,2004
2617,923,7,2015
2618,1124,14,2012
2619,1932,15,2012
2620,1421,15,2011
2621,1122,20,2020
2622,123,22,2018
2623,1911,7,2010
2624,1922,9,2005
2625,1921,17,2013
2626,1631,7,2014
2627,1112,56,2018
2628,2022,4,2014
2629,434,26,2004
2630,412,10,2015
2631,1613,1,2006
2632,1733,11,2007
2633,124,10,2008
2634,223,7,2013
2635,1654,3,2014
2636,1631,6,2004
2637,213,15,2019
2638,813,20,2012
2639,824,29,2012
2640,1823,7,2018
2641,1121,44,2014
2642,722,22,2008
2643,821,2,2019
2644,113,18,2018
2645,1712,18,2014
2646,1933,9,2017
2647,924,17,2008
2648,423,37,2006
2649,931,27,2007
2650,624,42,2008
2651,1813,3,2013
2652,1532,40,2011
2653,233,7,2012
2654,2422,35,2005
2655,1824,50,2004
2656,1622,9,2008
2657,113,25,2015
2658,111,7,2006
2659,813,10,2017
2660,1611,1,2012
2661,1412,16,2009
2662,2514,19,2015
2663,1624,15,2006
2664,932,14,2010
2665,821,15,2011
2666,2024,24,2016
2667,1412,12,2004
2668,1113,49,2016
2669,1034,8,2006
2670,1614,2,2017
2671,313,18,2013
2672,1434,6,2012
2673,1424,16,2004
2674,423,28,2007
2675,1221,2,2018
2676,1023,5,2015
2677,1125,28,2005
2678,722,16,2007
2679,1213,28,2010
2680,1422,9,2019
2681,733,27,2009
2682,314,11,2007
2683,533,16,2015
2684,2033,2,2018
2685,835,36,2011
2686,734,17,2017
2687,531,50,2004
2688,2222,12,2018
2689,1533,64,2010
2690,1621,5,2017
2691,934,41,2007
2692,2424,7,2018
2693,1935,1,2016
2694,2222,37,2014
2695,733,13,2004
2696,513,28,2005
2697,113,7,2007
2698,1132,19,2020
2699,414,25,2017
2700,612,36,2010
2701,314,7,2011
2702,1223,8,2016
2703,1211,3,2020
2704,732,17,2019
2705,3100,60,2007
2706,2212,16,2007
2707,933,2,2020
2708,531,53,2009
2709,214,9,2009
2710,1533,58,2012
2711,831,39,2011
2712,1713,17,2005
2713,1232,7,2017
2714,213,1,2009
2715,1223,7,2005
2716,915,3,2017
2717,2233,17,2006
2718,1512,19,2013
2719,1654,4,2010
2720,2511,10,2015
2721,814,16,2006
2722,2525,5,2018
2723,1814,4,2007
2724,1024,32,2011
2725,915,16,2010
2726,122,12,2018
2727,2422,31,2014
2728,1621,2,2005
2729,1612,7,2005
2730,835,17,2010
2731,225,9,2020
2732,1114,11,2007
2733,314,1,2020
2734,2521,13,2007
2735,1713,7,2016
2736,321,41,2009
2737,1132,69,2011
2738,822,11,2004
2739,725,28,2015
2740,914,23,2008
