,beat,count,years
333,1822,58,2006
334,1423,5,2020
335,2234,15,2018
336,2535,21,2006
337,2233,12,2004
338,1614,3,2006
339,932,28,2007
340,1611,7,2010
341,923,4,2006
342,1824,46,2010
343,825,38,2008
344,322,12,2008
345,2024,12,2015
346,113,21,2016
347,812,8,2012
348,1224,12,2014
349,1121,17,2020
350,822,13,2019
351,2424,25,2008
352,2211,15,2013
353,1834,15,2011
354,434,19,2008
355,1115,45,2013
356,1112,58,2006
357,2511,5,2010
358,2012,2,2010
359,423,32,2017
360,1634,7,2018
361,212,13,2004
362,831,21,2014
363,2013,8,2012
364,1611,7,2016
365,815,16,2004
366,1832,10,2016
367,533,13,2009
368,1111,22,2017
369,634,12,2018
370,2222,14,2007
371,1231,17,2012
372,511,27,2016
373,1632,3,2017
374,1731,9,2005
375,912,10,2020
376,832,42,2007
377,834,19,2013
378,1522,71,2011
379,1814,2,2004
380,813,17,2015
381,715,14,2005
382,1412,9,2012
383,631,33,2007
384,1423,28,2011
385,611,22,2016
386,2521,28,2009
387,2515,67,2011
388,114,23,2015
389,1812,18,2009
390,1434,7,2005
391,2514,18,2005
392,221,2,2015
393,321,41,2016
394,121,2,2016
395,1112,56,2012
396,111,25,2016
397,1412,11,2010
398,431,22,2011
399,713,43,2019
400,321,61,2010
401,132,12,2015
402,1124,11,2019
403,1651,3,2010
404,332,6,2020
405,2031,12,2017
406,1723,24,2008
407,2233,13,2017
408,1222,11,2014
409,334,2,2020
410,733,24,2018
411,922,6,2012
412,2521,14,2019
413,1113,51,2012
414,222,1,2018
415,733,40,2012
416,1911,4,2017
417,332,15,2016
418,1923,11,2005
419,1022,25,2015
420,2412,16,2015
421,1522,38,2006
422,1111,23,2014
423,2424,10,2010
424,1111,35,2009
425,1531,32,2009
426,933,23,2015
427,822,6,2016
428,214,8,2014
429,121,3,2014
430,726,27,2009
431,813,9,2014
432,1612,6,2017
433,1431,8,2011
434,433,7,2008
435,723,26,2012
436,1224,13,2015
437,833,9,2011
438,221,3,2009
439,1135,53,2011
440,123,7,2008
441,321,12,2020
442,1014,18,2006
443,1822,17,2015
444,431,21,2004
445,715,13,2018
446,2525,31,2009
447,2223,9,2019
448,824,15,2013
449,1915,2,2016
450,1124,26,2018
451,322,36,2012
452,1034,10,2017
453,1122,45,2015
454,623,34,2008
455,1222,7,2013
456,2433,25,2004
457,1014,28,2012
458,231,12,2014
459,1414,12,2014
460,2413,30,2015
461,833,7,2019
462,713,61,2006
463,812,20,2008
464,314,14,2009
465,212,2,2019
466,332,18,2009
467,1531,48,2015
468,2515,47,2012
469,123,15,2014
470,1911,6,2004
471,924,7,2019
472,222,5,2014
473,213,2,2017
474,512,26,2016
475,731,14,2010
476,2011,19,2008
477,1022,31,2010
478,2221,14,2012
479,933,14,2019
480,1834,20,2010
481,933,14,2013
482,133,10,2020
483,1823,7,2016
484,712,23,2012
485,322,38,2011
486,1633,12,2006
487,1613,4,2014
488,1012,22,2009
489,1423,28,2018
490,3100,51,2008
491,915,15,2014
492,713,65,2017
493,934,15,2016
494,1732,2,2019
495,321,61,2012
496,1923,20,2017
497,1622,7,2017
498,835,11,2005
499,2011,13,2007
500,2523,8,2012
501,812,2,2020
502,511,14,2004
503,1912,4,2009
504,1653,4,2018
505,935,9,2004
506,212,6,2016
507,413,5,2020
508,122,10,2016
509,2531,24,2008
510,1613,5,2010
511,633,10,2007
512,221,4,2007
513,2433,15,2015
514,433,14,2015
515,1012,18,2014
516,2432,25,2008
517,834,9,2016
518,622,16,2016
519,1422,14,2013
520,1114,24,2019
521,1914,23,2015
522,1412,13,2016
523,634,32,2009
524,1823,10,2011
525,631,29,2019
526,214,6,2006
527,311,9,2012
528,1933,5,2005
529,322,12,2006
530,1112,54,2007
531,522,33,2004
532,2012,15,2006
533,1915,9,2018
534,1412,11,2005
535,412,14,2006
536,1532,44,2006
537,2433,11,2017
538,2533,44,2007
539,915,26,2009
540,2531,11,2004
541,231,11,2013
542,234,14,2009
543,2432,22,2014
544,934,3,2020
545,1713,19,2007
546,414,20,2014
547,1814,7,2008
548,312,34,2010
549,1123,39,2009
550,1223,14,2007
551,1434,20,2013
552,933,15,2017
553,331,16,2009
554,814,10,2011
555,833,8,2012
556,914,7,2014
557,311,28,2005
558,821,9,2006
559,1211,33,2011
560,1032,16,2009
561,624,16,2020
562,211,3,2013
563,1732,3,2014
564,523,31,2015
565,2412,22,2014
566,1115,48,2006
567,1634,11,2004
568,1031,1,2004
569,331,14,2010
570,2213,6,2013
571,211,3,2016
572,624,67,2013
573,1411,14,2018
574,2413,7,2004
575,815,4,2017
576,1633,14,2010
577,1112,60,2015
578,2032,6,2007
579,1533,44,2007
580,2031,7,2007
581,1531,41,2016
582,414,25,2012
583,2432,9,2020
584,1411,10,2004
585,523,16,2010
586,2234,16,2015
587,1014,27,2007
588,512,22,2019
589,631,14,2004
590,1433,4,2014
591,815,17,2011
592,1731,6,2010
593,1724,13,2020
594,1814,7,2005
595,532,24,2014
596,2532,19,2007
597,1421,6,2013
598,2534,21,2009
599,932,18,2014
600,633,8,2015
601,2234,16,2011
602,213,5,2012
603,2521,24,2008
604,832,29,2006
605,212,9,2012
606,2011,16,2010
607,1722,17,2006
608,725,28,2014
609,724,23,2007
610,1023,7,2005
611,531,41,2015
612,1422,27,2011
613,723,7,2020
614,2221,15,2008
615,1232,8,2010
616,812,12,2013
617,2411,9,2008
618,831,23,2013
619,1913,17,2008
620,1512,3,2020
621,824,28,2006
622,332,16,2007
623,2512,18,2010
624,1924,24,2010
625,1432,5,2019
626,1931,3,2005
627,1924,20,2018
628,1621,3,2018
629,621,93,2011
630,112,3,2011
631,2031,8,2018
632,1513,44,2017
633,834,16,2012
634,1824,13,2018
635,2535,22,2005
636,713,66,2016
637,832,21,2019
638,2513,4,2006
639,224,7,2015
640,2432,16,2018
641,1723,35,2007
642,111,18,2018
643,313,17,2006
644,1411,11,2007
645,334,8,2009
646,132,28,2004
647,1651,2,2012
648,1531,24,2017
649,1833,24,2013
650,2012,5,2013
651,833,8,2010
652,2521,6,2020
653,2212,15,2004
654,2011,17,2011
655,2423,14,2004
656,2013,6,2005
657,1823,12,2013
658,1524,42,2017
659,421,28,2004
660,923,4,2004
661,1822,34,2008
662,132,2,2018
663,825,44,2005
664,1132,42,2007
665,1832,31,2013
666,2012,4,2015
667,1522,34,2017
668,1223,14,2017
669,2223,17,2018
670,2533,32,2008
671,1812,11,2010
672,821,3,2016
673,2223,28,2013
674,2031,13,2013
675,1653,3,2013
676,1215,1,2018
677,1623,19,2014
678,1831,28,2019
679,734,24,2010
680,1215,9,2015
681,1934,14,2012
682,1821,15,2016
683,1914,11,2017
684,1413,11,2011
685,313,16,2017
686,3100,63,2014
687,2213,5,2020
688,2511,5,2007
689,912,7,2018
690,1432,8,2007
691,934,18,2014
692,1031,13,2013
693,2023,8,2008
694,1822,6,2020
695,2424,20,2013
696,1931,1,2018
697,1915,5,2017
698,1031,21,2019
699,822,3,2014
700,334,18,2011
701,112,2,2006
702,3100,39,2004
703,2023,1,2017
704,1652,6,2015
705,725,39,2017
706,1134,62,2016
707,935,20,2017
708,2514,5,2012
709,212,3,2009
710,422,57,2015
711,312,36,2004
712,734,16,2016
713,1115,30,2012
714,713,74,2012
715,413,9,2004
716,1832,3,2020
717,1532,29,2004
718,1523,55,2010
719,1924,19,2007
720,1532,5,2020
721,621,73,2009
722,314,2,2012
723,612,13,2017
724,532,18,2018
725,131,7,2005
726,815,20,2012
727,324,31,2004
728,711,10,2007
729,224,9,2005
730,2534,12,2007
731,2523,11,2008
732,1922,1,2017
733,2515,67,2009
734,1632,12,2011
735,1513,49,2012
736,913,14,2019
737,412,11,2011
738,211,10,2009
739,1924,22,2005
740,1234,25,2013
741,622,24,2011
742,2523,7,2013
743,1434,13,2015
744,2234,13,2004
745,1812,17,2012
746,2412,4,2020
747,915,2,2018
748,1513,59,2014
749,433,3,2016
750,413,20,2007
751,433,3,2010
752,2535,20,2011
753,2424,17,2005
754,1912,10,2006
755,1824,29,2015
756,1125,5,2015
757,113,3,2004
758,733,46,2015
759,1432,12,2013
760,422,17,2004
761,221,9,2010
762,1814,18,2012
763,1211,6,2013
764,1132,42,2004
765,1712,8,2012
766,623,44,2019
767,234,3,2017
768,1723,4,2015
769,1135,34,2007
770,2032,2,2012
771,1511,26,2004
772,1931,4,2004
773,332,14,2006
774,2012,6,2005
775,121,1,2012
776,1414,5,2013
777,122,3,2005
778,2223,2,2020
779,424,26,2008
780,2524,2,2017
781,1422,14,2010
782,2515,37,2017
783,1511,11,2018
784,1113,39,2013
785,1412,8,2014
786,1032,12,2016
787,1622,8,2012
788,924,22,2010
789,1813,4,2008
790,1233,16,2019
791,814,7,2010
792,921,7,2015
793,221,8,2008
794,825,34,2010
795,1833,20,2011
796,1131,24,2013
797,2212,24,2005
798,1813,2,2011
799,1212,18,2007
800,432,10,2018
801,613,45,2014
